country,region,year,pop_total,pop_growth,avg_temp_c,avg_temp_f
Philippines,East Asia & Pacific,2004,84710542,1.97734882542352,27.094250000000002,80.76965
Philippines,East Asia & Pacific,2005,86326250,1.88936666103242,27.12041666666667,80.81675
Philippines,East Asia & Pacific,2006,87888675,1.79372334667574,27.23091666666667,81.01565
Philippines,East Asia & Pacific,2007,89405482,1.71110434098395,27.20625,80.97125
Philippines,East Asia & Pacific,2008,90901965,1.65996179015077,26.937583333333333,80.48765
Philippines,East Asia & Pacific,2009,92414158,1.64985739065939,26.915916666666664,80.44865000000001
Philippines,East Asia & Pacific,2010,93966780,1.66611235345885,27.492333333333338,81.48620000000001
Philippines,East Asia & Pacific,2011,95570047,1.69181395114085,26.8165,80.2697
Philippines,East Asia & Pacific,2012,97212638,1.70412685264899,27.336416666666665,81.20555
Philippines,East Asia & Pacific,2013,98871552,1.6920829575655,27.868999999999996,82.16420000000001
Saudi Arabia,Middle East & North Africa,2000,20663843,2.29738309080615,27.36516666666667,81.2573
Saudi Arabia,Middle East & North Africa,2001,21202642,2.57403385445926,27.61391666666667,81.70504999999999
Saudi Arabia,Middle East & North Africa,2002,21805313,2.80278591428322,27.501,81.50179999999999
Saudi Arabia,Middle East & North Africa,2003,22456649,2.94330839062855,27.702541666666665,81.864575
Saudi Arabia,Middle East & North Africa,2004,23132682,2.9659683224838,27.355166666666666,81.2393
Saudi Arabia,Middle East & North Africa,2005,23816183,2.9118884765255,27.399166666666662,81.31850000000001
Saudi Arabia,Middle East & North Africa,2006,24498310,2.82388279857124,27.41304166666667,81.34347500000001
Saudi Arabia,Middle East & North Africa,2007,25184597,2.7628441901697,27.517374999999998,81.53127500000001
Saudi Arabia,Middle East & North Africa,2008,25888541,2.75678608896131,27.46149999999999,81.43069999999999
Saudi Arabia,Middle East & North Africa,2009,26630303,2.82493395351063,27.72229166666666,81.900125
Saudi Arabia,Middle East & North Africa,2010,27421461,2.927617708437,28.398416666666666,83.11715
Saudi Arabia,Middle East & North Africa,2011,28267685,3.03933244337957,27.438000000000002,81.38840000000002
Saudi Arabia,Middle East & North Africa,2012,29155187,3.09135592234937,27.914625,82.246325
Saudi Arabia,Middle East & North Africa,2013,30052518,3.03136125002084,28.326687500000002,82.98803749999999
Sudan,Sub-Saharan Africa,2000,27275015,2.4063370071213,29.621250000000003,85.31825
Sudan,Sub-Saharan Africa,2001,27971082,2.52001090971083,29.805499999999995,85.6499
Sudan,Sub-Saharan Africa,2002,28704778,2.58923989751537,29.989500000000003,85.98109999999998
Sudan,Sub-Saharan Africa,2003,29460519,2.59874382418319,29.679916666666667,85.42385
Sudan,Sub-Saharan Africa,2004,30214193,2.5260752881144,29.890416666666667,85.80275
Sudan,Sub-Saharan Africa,2005,30949516,2.4045580013927,30.168333333333333,86.303
Sudan,Sub-Saharan Africa,2006,31661823,2.27542724561239,29.551833333333335,85.19330000000001
Sudan,Sub-Saharan Africa,2007,32360621,2.18306490261831,29.584166666666672,85.25149999999998
Sudan,Sub-Saharan Africa,2008,33060837,2.14071273121231,29.911333333333335,85.84039999999999
Sudan,Sub-Saharan Africa,2009,33783788,2.16316327753659,30.46016666666667,86.82830000000001
Sudan,Sub-Saharan Africa,2010,34545013,2.22821558093138,30.730166666666666,87.3143
Sudan,Sub-Saharan Africa,2011,35349681,2.30261699951746,29.963666666666665,85.93459999999999
Sudan,Sub-Saharan Africa,2012,36193783,2.35979954945711,29.96108333333333,85.92995
Sudan,Sub-Saharan Africa,2013,37072550,2.39894398236147,30.6505,87.1709
Senegal,Sub-Saharan Africa,2000,9797734,2.36514802226824,25.259333333333334,77.46679999999999
Senegal,Sub-Saharan Africa,2001,10036104,2.40378566945575,25.792,78.42559999999999
Senegal,Sub-Saharan Africa,2002,10283699,2.43710290635036,25.404166666666672,77.7275
Senegal,Sub-Saharan Africa,2003,10541467,2.4756697280447,25.25091666666667,77.45165
Senegal,Sub-Saharan Africa,2004,10810083,2.51625922087616,25.38083333333334,77.6855
Senegal,Sub-Saharan Africa,2005,11090116,2.55749514838353,25.784416666666672,78.41195
Senegal,Sub-Saharan Africa,2006,11382268,2.60024446721441,25.320666666666668,77.5772
Senegal,Sub-Saharan Africa,2007,11687080,2.64272522867452,25.33575,77.60435
Senegal,Sub-Saharan Africa,2008,12004701,2.68143649337825,25.497749999999996,77.89595000000001
Senegal,Sub-Saharan Africa,2009,12335084,2.71492367746846,25.011499999999998,77.0207
Senegal,Sub-Saharan Africa,2010,12678148,2.74323217107268,26.103666666666665,78.9866
Senegal,Sub-Saharan Africa,2011,13033809,2.76667922615095,25.411,77.7398
Senegal,Sub-Saharan Africa,2012,13401991,2.78566041882681,25.473000000000003,77.8514
Senegal,Sub-Saharan Africa,2013,13782420,2.79905889934828,24.695375000000006,76.45167500000001
Singapore,East Asia & Pacific,2000,4027887,1.73204223254257,27.096500000000002,80.77370000000002
Singapore,East Asia & Pacific,2001,4138012,2.69735584326358,27.189333333333334,80.9408
Singapore,East Asia & Pacific,2002,4175950,0.912639805776796,27.40608333333333,81.33094999999999
Singapore,East Asia & Pacific,2003,4114826,-1.47453284191939,27.311833333333336,81.1613
Singapore,East Asia & Pacific,2004,4166664,1.2519166730553,27.328666666666663,81.19160000000001
Singapore,East Asia & Pacific,2005,4265762,2.35051128857175,27.493583333333333,81.48845000000001
Singapore,East Asia & Pacific,2006,4401365,3.1293891560754,27.32841666666667,81.19115000000001
Singapore,East Asia & Pacific,2007,4588599,4.16600286360933,27.129999999999995,80.83399999999999
Singapore,East Asia & Pacific,2008,4839396,5.32151708302623,27.06766666666667,80.72180000000002
Singapore,East Asia & Pacific,2009,4987573,3.0159499147579,27.473333333333333,81.45200000000001
Singapore,East Asia & Pacific,2010,5076732,1.77183287926401,27.6035,81.6863
Singapore,East Asia & Pacific,2011,5183688,2.08490245606007,27.282166666666665,81.1079
Singapore,East Asia & Pacific,2012,5312437,2.45339033031018,27.303583333333336,81.14645
Singapore,East Asia & Pacific,2013,5399162,1.61930809858875,27.602874999999997,81.685175
Somalia,Sub-Saharan Africa,2000,8872254,3.65765151618095,27.78741666666667,82.01735000000001
Somalia,Sub-Saharan Africa,2001,9186725,3.48306282053769,27.678916666666666,81.82204999999999
Somalia,Sub-Saharan Africa,2002,9501342,3.36735445482079,27.773500000000002,81.9923
Somalia,Sub-Saharan Africa,2003,9815412,3.25207516262233,28.03291666666667,82.45925000000001
Somalia,Sub-Saharan Africa,2004,10130243,3.15715027129659,27.853166666666667,82.1357
Somalia,Sub-Saharan Africa,2005,10446863,3.07764358299275,28.081333333333333,82.5464
Somalia,Sub-Saharan Africa,2006,10763905,2.98966651535587,27.783,82.00939999999999
Somalia,Sub-Saharan Africa,2007,11080121,2.89541947267609,28.084750000000003,82.55255
Somalia,Sub-Saharan Africa,2008,11397188,2.82140564694311,27.745416666666667,81.94175
Somalia,Sub-Saharan Africa,2009,11717692,2.77331781217351,28.225333333333335,82.8056
Somalia,Sub-Saharan Africa,2010,12043883,2.74570597634056,28.025583333333334,82.44605
Somalia,Sub-Saharan Africa,2011,12376302,2.72266188498611,28.27508333333334,82.89515
Somalia,Sub-Saharan Africa,2012,12715510,2.70389931343089,28.1895,82.74109999999999
Somalia,Sub-Saharan Africa,2013,13063706,2.70153426462899,27.941375,82.29447499999999
Thailand,East Asia & Pacific,2000,62952642,1.04442412963011,27.522999999999996,81.54140000000001
Thailand,East Asia & Pacific,2001,63539196,0.927424588770348,27.81283333333333,82.0631
Thailand,East Asia & Pacific,2002,64069087,0.830501019571074,27.981499999999997,82.36670000000001
Thailand,East Asia & Pacific,2003,64549866,0.74760558699721,27.789999999999996,82.02200000000002
Thailand,East Asia & Pacific,2004,64995299,0.687690282292456,27.797666666666668,82.03580000000001
Thailand,East Asia & Pacific,2005,65416189,0.645482185364692,27.924333333333337,82.2638
